employee_id,first_name,last_name,full_name,email,job_title,department,hire_date,termination_date,employment_status,employment_type,manager_employee_id,store_code,current_flag,effective_from,effective_to,row_created_date,row_updated_date
E1082,Brenda,Hoffman,Brenda Hoffman,brenda.hoffman@retailcorp.com,Cashier,Customer Service,10/10/2021,,Active,Contractor,E1008,STR0007,1,10/10/2021,,10/28/2025,10/28/2025
E1083,Melanie,Bell,Melanie Bell,melanie.bell@retailcorp.com,Sales Associate,Customer Service,12/6/2020,,Active,Contractor,,STR0001,1,12/6/2020,,10/28/2025,10/28/2025
E1084,Chelsea,Barrett,Chelsea Barrett,chelsea.barrett@retailcorp.com,Logistics Coordinator,Customer Service,6/4/2021,,Active,Part-time,E1050,STR0014,1,6/4/2021,,10/28/2025,10/28/2025
E1085,Joyce,Bonilla,Joyce Bonilla,joyce.bonilla@retailcorp.com,Logistics Coordinator,Finance,2/15/2024,,Active,Full-time,E1035,STR0014,1,2/15/2024,,10/28/2025,10/28/2025
E1086,Shelly,Carlson,Shelly Carlson,shelly.carlson@retailcorp.com,Sales Associate,Sales,9/13/2022,,Active,Contractor,E1052,STR0006,1,9/13/2022,,10/28/2025,10/28/2025
E1087,Robert,Lewis,Robert Lewis,robert.lewis@retailcorp.com,Sales Associate,Inventory,9/9/2021,,Active,Contractor,E1051,STR0019,1,9/9/2021,,10/28/2025,10/28/2025
E1088,Kevin,Clark,Kevin Clark,kevin.clark@retailcorp.com,Logistics Coordinator,Sales,2/1/2023,2/8/2025,Terminated,Full-time,,STR0006,1,2/1/2023,2/8/2025,10/28/2025,10/28/2025
E1089,Jane,Mason,Jane Mason,jane.mason@retailcorp.com,Cashier,Logistics,4/23/2021,,Active,Full-time,E1044,STR0013,1,4/23/2021,,10/28/2025,10/28/2025
E1090,Richard,Burch,Richard Burch,richard.burch@retailcorp.com,Inventory Clerk,Customer Service,1/18/2023,,Active,Full-time,E1096,STR0018,1,1/18/2023,,10/28/2025,10/28/2025
E1091,Christian,Harrell,Christian Harrell,christian.harrell@retailcorp.com,Cashier,Logistics,4/4/2021,,Active,Full-time,E1084,STR0002,1,4/4/2021,,10/28/2025,10/28/2025
E1092,Dwayne,Gonzalez,Dwayne Gonzalez,dwayne.gonzalez@retailcorp.com,Cashier,Inventory,9/10/2022,7/27/2023,Terminated,Contractor,E1017,STR0016,1,9/10/2022,7/27/2023,10/28/2025,10/28/2025
E1093,Carlos,Ramos,Carlos Ramos,carlos.ramos@retailcorp.com,Cashier,Finance,7/25/2023,,Active,Part-time,E1099,STR0012,1,7/25/2023,,10/28/2025,10/28/2025
E1094,Michelle,Wyatt,Michelle Wyatt,michelle.wyatt@retailcorp.com,Store Manager,Finance,12/14/2022,,Active,Contractor,E1100,STR0006,1,12/14/2022,,10/28/2025,10/28/2025
E1095,Edward,Brown,Edward Brown,edward.brown@retailcorp.com,Inventory Clerk,Sales,6/1/2023,,Active,Part-time,E1049,STR0013,1,6/1/2023,,10/28/2025,10/28/2025
E1096,Erik,Watson,Erik Watson,erik.watson@retailcorp.com,Store Manager,Sales,7/14/2024,,Active,Contractor,E1090,STR0010,1,7/14/2024,,10/28/2025,10/28/2025
E1097,Edward,Miller,Edward Miller,edward.miller@retailcorp.com,Logistics Coordinator,Sales,12/25/2022,,Active,Contractor,E1045,STR0018,1,12/25/2022,,10/28/2025,10/28/2025
E1098,Michael,Cox,Michael Cox,michael.cox@retailcorp.com,Sales Associate,Logistics,12/24/2022,8/13/2025,Terminated,Part-time,E1054,STR0016,1,12/24/2022,8/13/2025,10/28/2025,10/28/2025
E1099,Kelli,Conley,Kelli Conley,kelli.conley@retailcorp.com,Cashier,Customer Service,9/12/2023,,Active,Contractor,,STR0015,1,9/12/2023,,10/28/2025,10/28/2025
E1100,Jennifer,Montes,Jennifer Montes,jennifer.montes@retailcorp.com,Store Manager,Customer Service,2/17/2024,5/31/2026,Terminated,Contractor,E1069,STR0016,1,2/17/2024,5/31/2026,10/28/2025,10/28/2025
