customer_key,customer_id,first_name,last_name,full_name,gender,birthdate,age_range,email,phone,mobile,address_line1,address_line2,city,state,postal_code,country,loyalty_id,loyalty_tier,loyalty_points,member_since,customer_segment,income_range,household_size,opt_in_email,opt_in_sms,opt_in_push,current_flag,effective_from,effective_to,row_created_date,row_updated_date
1118,CUST-000011,Isha,Kapoor,Isha Kapoor,Female,11/27/1977,45-54,isha.kapoor82@example.com,-127638,-85915,"983, Market Rd",Sector 44,Hyderabad,Telangana,500001,India,LTY-000011,Silver,4817,6/29/2025,Occasional,>20L,3,1,0,1,0,1/1/2021 0:00,10/16/2021 0:00,1/1/2021 19:00,10/16/2021 20:00
13,CUST-000013,Isabella,Johnson,Isabella Johnson,Female,6/27/1969,55-64,isabella.johnson2@example.com,-6927,-6158,"540, Ring Rd",Opp. Park,Seattle,Washington,98101,USA,LTY-000013,Platinum,14407,2/17/2024,VIP,6L-10L,1,1,0,1,1,7/11/2023 0:00,,7/11/2023 7:00,10/31/2023 0:00
16,CUST-000016,Ananya,Agarwal,Ananya Agarwal,Female,7/23/1996,25-34,ananya.agarwal77@example.com,-153442,-124340,"302, Main St",Opp. Park,Kochi,Kerala,682001,India,LTY-000016,Bronze,716,11/24/2021,Occasional,6L-10L,4,1,0,0,1,4/25/2022 0:00,,4/25/2022 22:00,2/7/2023 0:00
17,CUST-000017,Diya,Nair,Diya Nair,Female,7/8/1983,35-44,diya.nair74@example.com,-159794,-158553,"552, MG Road",Opp. Park,Mumbai,Maharashtra,400001,India,LTY-000017,Silver,1943,1/30/2023,Regular,10L-20L,4,1,1,0,1,7/6/2021 0:00,,7/6/2021 11:00,11/21/2021 0:00
19,CUST-000019,William,Hall,William Hall,Male,8/5/1967,55-64,william.hall36@example.com,-988472,-372238,"91, Main St",Sector 32,Birmingham,England,B1,UK,LTY-000019,Gold,6881,8/23/2021,Regular,3L-6L,1,1,1,0,1,6/15/2024 0:00,,6/15/2024 7:00,9/25/2024 0:00
20,CUST-000020,Ananya,Nair,Ananya Nair,Female,1/30/1964,55-64,ananya.nair3@example.com,-121604,-138634,"547, MG Road",Near Mall,Bhubaneswar,Odisha,751001,India,LTY-000020,Silver,1735,8/22/2022,Regular,6L-10L,2,1,0,0,1,2/10/2024 0:00,,2/10/2024 16:00,7/23/2024 0:00
21,CUST-000021,Rahul,Kapoor,Rahul Kapoor,Male,7/27/1966,55-64,rahul.kapoor41@example.com,-195737,-108682,"537, Ring Rd",Block C,Jaipur,Rajasthan,302001,India,LTY-000021,Bronze,1256,8/1/2025,Regular,Unknown,5,1,0,0,1,12/13/2022 0:00,,12/13/2022 7:00,5/13/2023 0:00
22,CUST-000022,Rina,Verma,Rina Verma,Female,5/23/1997,25-34,rina.verma3@example.com,-93806,-140539,"223, Main St",Block D,Chennai,Tamil Nadu,600001,India,LTY-000022,Bronze,1325,3/29/2024,Regular,Unknown,2,1,1,0,1,2/6/2025 0:00,,2/6/2025 2:00,11/5/2025 0:00
23,CUST-000023,Isabella,Miller,Isabella Miller,Female,1/10/1972,45-54,isabella.miller52@example.com,-4200885,-4536528,"861, Main St",Near Mall,Dubai,Dubai,0,UAE,LTY-000023,Silver,3543,9/20/2025,Regular,3L-6L,1,0,0,1,1,10/16/2023 0:00,,10/16/2023 5:00,8/20/2024 0:00
24,CUST-000024,Karan,Verma,Karan Verma,Male,7/25/1960,65+,karan.verma62@example.com,-142771,-139729,"6, MG Road",Block C,Jaipur,Rajasthan,302001,India,LTY-000024,Silver,2803,11/10/2022,VIP,>20L,5,1,1,1,1,7/3/2023 0:00,,7/4/2023 0:00,4/17/2024 0:00
25,CUST-000025,Daniel,Smith,Daniel Smith,Male,11/5/2003,18-24,daniel.smith97@example.com,-5424,-4943,"570, Main St",Opp. Park,Seattle,Washington,98101,USA,LTY-000025,Silver,3546,7/11/2025,New,<3L,4,1,0,0,1,11/8/2024 0:00,,11/8/2024 22:00,9/19/2025 0:00
29,CUST-000029,Ananya,Shah,Ananya Shah,Female,1/14/1958,65+,ananya.shah87@example.com,-133609,-127104,"739, MG Road",Near Mall,Chennai,Tamil Nadu,600001,India,LTY-000029,Bronze,1722,10/29/2024,Regular,10L-20L,5,1,1,1,1,12/7/2022 0:00,,12/7/2022 14:00,5/12/2023 0:00
30,CUST-000030,Kavya,Khanna,Kavya Khanna,Female,11/27/1957,65+,kavya.khanna79@example.com,-165168,-106045,"836, Ring Rd",Sector 13,Gurgaon,Haryana,122001,India,LTY-000030,Silver,1064,11/17/2022,Regular,3L-6L,3,1,0,0,1,5/10/2025 0:00,,5/10/2025 8:00,12/15/2025 0:00
33,CUST-000033,Meera,Kapoor,Meera Kapoor,Female,3/6/1991,25-34,meera.kapoor17@example.com,-97352,-169947,"927, MG Road",Block C,Kolkata,West Bengal,700001,India,LTY-000033,Silver,3792,2/19/2025,Regular,6L-10L,6,1,1,1,1,10/30/2021 0:00,,10/30/2021 13:00,9/17/2022 0:00
34,CUST-000034,Arjun,Sharma,Arjun Sharma,Male,2/28/2000,25-34,arjun.sharma4@example.com,-162413,-111583,"770, Main St",Opp. Park,Noida,Uttar Pradesh,201301,India,LTY-000034,Gold,11485,4/7/2024,VIP,<3L,1,0,0,1,1,4/30/2022 0:00,,4/30/2022 8:00,7/26/2022 0:00
1117,CUST-000034,Arjun,Sharma,Arjun Sharma,Male,2/28/2000,25-34,arjun.sharma4@example.com,-162413,-111583,"560, Hill Rd",Opp. School,Kochi,Kerala,682001,India,LTY-000034,Bronze,202,4/7/2024,Regular,<3L,1,0,0,1,0,1/1/2021 0:00,8/24/2021 0:00,1/1/2021 23:00,8/25/2021 0:00
36,CUST-000036,Kabir,Patel,Kabir Patel,Male,3/11/1982,35-44,kabir.patel60@example.com,-118194,-102686,"18, Park St",Near Mall,Jaipur,Rajasthan,302001,India,LTY-000036,Bronze,1053,6/16/2025,Regular,>20L,3,1,1,0,1,5/25/2022 0:00,,5/25/2022 4:00,4/4/2023 0:00
1105,CUST-000036,Kabir,Patel,Kabir Patel,Male,3/11/1982,35-44,kabir.patel60@example.com,-118194,-102686,"13, Hill Rd",Sector 12,Gurgaon,Haryana,122001,India,LTY-000036,Silver,4837,6/16/2025,Regular,>20L,3,1,1,0,0,1/1/2021 0:00,1/8/2022 0:00,1/1/2021 13:00,1/8/2022 21:00
37,CUST-000037,Kabir,Mehta,Kabir Mehta,Male,8/30/1958,65+,kabir.mehta76@example.com,-137853,-183151,"512, Main St",Opp. Park,Ranchi,Jharkhand,834001,India,LTY-000037,Silver,4555,10/30/2025,Regular,Unknown,3,1,0,0,1,7/9/2022 0:00,,7/9/2022 22:00,7/8/2023 0:00
38,CUST-000038,Rohan,Rao,Rohan Rao,Male,3/4/2001,18-24,rohan.rao17@example.com,-141046,-118707,"872, MG Road",Block C,Patna,Bihar,800001,India,LTY-000038,Silver,1857,1/18/2022,VIP,6L-10L,3,1,0,0,1,5/6/2023 0:00,,5/6/2023 22:00,9/17/2023 0:00
41,CUST-000041,Kabir,Agarwal,Kabir Agarwal,Male,6/21/1980,45-54,kabir.agarwal10@example.com,-189137,-143434,"942, Main St",Opp. Park,Mumbai,Maharashtra,400001,India,LTY-000041,Silver,2270,9/9/2021,Occasional,>20L,3,1,1,0,1,4/6/2025 0:00,,4/6/2025 1:00,8/24/2025 0:00
42,CUST-000042,Neha,Sharma,Neha Sharma,Female,4/19/1964,55-64,neha.sharma56@example.com,-113678,-101443,"969, Park St",Sector 31,Noida,Uttar Pradesh,201301,India,LTY-000042,Gold,13268,5/25/2023,Regular,10L-20L,5,1,1,1,1,8/30/2023 0:00,,8/30/2023 23:00,12/18/2023 0:00
45,CUST-000045,Ravi,Shah,Ravi Shah,Male,3/26/1958,65+,ravi.shah44@example.com,-97895,-164167,"794, Station Rd",Near Mall,Surat,Gujarat,395003,India,LTY-000045,Gold,4986,12/26/2021,New,10L-20L,5,1,1,0,1,9/18/2024 0:00,,9/19/2024 0:00,11/15/2024 0:00
46,CUST-000046,Neha,Nair,Neha Nair,Female,8/7/1982,35-44,neha.nair57@example.com,-177307,-149546,"787, Park St",Sector 15,Chennai,Tamil Nadu,600001,India,LTY-000046,Silver,3069,9/28/2025,Occasional,10L-20L,4,0,0,1,1,3/11/2021 0:00,,3/12/2021 0:00,5/6/2021 0:00
49,CUST-000049,David,Brown,David Brown,Male,9/23/1958,65+,david.brown1@example.com,-699255,-463733,"877, Main St",Sector 27,London,England,SW1A,UK,LTY-000049,Bronze,680,7/18/2025,Regular,3L-6L,4,1,0,1,1,6/4/2022 0:00,,6/4/2022 16:00,3/17/2023 0:00
50,CUST-000050,Arjun,Verma,Arjun Verma,Male,12/11/1979,45-54,arjun.verma58@example.com,-190896,-157403,"850, Station Rd",Block C,Nagpur,Maharashtra,440001,India,LTY-000050,Bronze,525,4/21/2022,Regular,6L-10L,2,0,1,1,1,6/19/2024 0:00,,6/19/2024 8:00,9/18/2024 0:00
52,CUST-000052,Rahul,Reddy,Rahul Reddy,Male,8/27/1970,55-64,rahul.reddy1@example.com,-107286,-96975,"104, MG Road",Sector 3,Bengaluru,Karnataka,560001,India,LTY-000052,Gold,4404,2/28/2023,Regular,10L-20L,4,0,1,0,1,2/9/2023 0:00,,2/9/2023 0:00,5/28/2023 0:00
53,CUST-000053,Mia,Davis,Mia Davis,Female,8/14/1955,65+,mia.davis7@example.com,-4650232,-9758198,"58, Main St",Opp. Park,Dubai,Dubai,0,UAE,LTY-000053,Bronze,1123,12/26/2024,Occasional,6L-10L,1,0,1,1,1,10/26/2022 0:00,,10/26/2022 0:00,12/7/2022 0:00
55,CUST-000055,Ethan,Jones,Ethan Jones,Male,12/7/1969,55-64,ethan.jones1@example.com,-3525219,-3208556,"861, Station Rd",Block B,Dubai,Dubai,0,UAE,LTY-000055,Silver,3864,5/11/2022,Regular,Unknown,5,1,1,0,1,7/20/2022 0:00,,7/20/2022 20:00,12/28/2022 0:00
57,CUST-000057,Isha,Reddy,Isha Reddy,Female,10/4/1992,25-34,isha.reddy55@example.com,-123136,-114818,"652, Park St",Near Mall,Ahmedabad,Gujarat,380001,India,LTY-000057,Silver,3066,4/16/2023,Regular,3L-6L,1,1,0,0,1,11/26/2021 0:00,,11/26/2021 10:00,6/21/2022 0:00
59,CUST-000059,Rina,Sharma,Rina Sharma,Female,2/6/1966,55-64,rina.sharma64@example.com,-149928,-159043,"247, Station Rd",Block C,Pune,Maharashtra,411001,India,LTY-000059,Bronze,1000,1/17/2021,VIP,<3L,1,0,1,0,1,4/25/2023 0:00,,4/25/2023 23:00,7/27/2023 0:00
61,CUST-000061,Mia,Walker,Mia Walker,Female,9/9/1995,25-34,mia.walker23@example.com,-5608,-9121,"619, Ring Rd",Block A,Seattle,Washington,98101,USA,LTY-000061,Bronze,522,8/28/2023,Regular,Unknown,1,1,1,0,1,2/17/2022 0:00,,2/17/2022 0:00,10/27/2022 0:00
63,CUST-000063,Neha,Iyer,Neha Iyer,Female,6/1/1991,25-34,neha.iyer50@example.com,-116988,-135337,"180, Main St",Sector 17,Jaipur,Rajasthan,302001,India,LTY-000063,Silver,1700,3/28/2023,Regular,<3L,5,1,0,0,1,8/10/2023 0:00,,8/10/2023 6:00,2/29/2024 0:00
64,CUST-000064,Ravi,Sharma,Ravi Sharma,Male,6/21/2003,18-24,ravi.sharma44@example.com,-174871,-165852,"932, Ring Rd",Near Mall,Gurgaon,Haryana,122001,India,LTY-000064,Bronze,499,11/15/2023,Regular,6L-10L,6,1,1,1,1,3/7/2024 0:00,,3/7/2024 5:00,4/27/2024 0:00
65,CUST-000065,Meera,Sharma,Meera Sharma,Female,6/3/1977,45-54,meera.sharma23@example.com,-117578,-156168,"133, Station Rd",Sector 39,Noida,Uttar Pradesh,201301,India,LTY-000065,Gold,5934,7/14/2025,Regular,6L-10L,3,0,1,0,1,4/29/2023 0:00,,4/29/2023 4:00,10/4/2023 0:00
67,CUST-000067,Meera,Khanna,Meera Khanna,Female,9/14/1957,65+,meera.khanna15@example.com,-165114,-114096,"161, MG Road",Opp. Park,Surat,Gujarat,395003,India,LTY-000067,Bronze,1122,11/7/2021,Occasional,6L-10L,3,0,1,1,1,7/10/2024 0:00,,7/10/2024 7:00,1/20/2025 0:00
68,CUST-000068,William,Miller,William Miller,Male,2/11/1986,35-44,william.miller34@example.com,-4932,-10808,"242, Park St",Sector 29,Seattle,Washington,98101,USA,LTY-000068,Bronze,776,7/4/2023,Regular,6L-10L,5,0,0,1,1,2/24/2021 0:00,,2/24/2021 18:00,10/29/2021 0:00
69,CUST-000069,Vikram,Nair,Vikram Nair,Male,12/27/1957,65+,vikram.nair20@example.com,-138804,-186750,"410, Ring Rd",Opp. Park,Guwahati,Assam,781001,India,LTY-000069,Gold,8625,5/24/2024,Regular,6L-10L,6,0,0,0,1,4/13/2025 0:00,,4/13/2025 9:00,2/9/2026 0:00
70,CUST-000070,Rahul,Sharma,Rahul Sharma,Male,7/29/1990,35-44,rahul.sharma57@example.com,-166106,-128066,"159, Ring Rd",Opp. Park,Pune,Maharashtra,411001,India,LTY-000070,Silver,4553,1/3/2025,VIP,10L-20L,4,0,1,1,1,6/27/2025 0:00,,6/27/2025 22:00,12/28/2025 0:00
71,CUST-000071,Vikram,Mehta,Vikram Mehta,Male,5/26/1968,55-64,vikram.mehta5@example.com,-170412,-182752,"740, Ring Rd",Sector 9,Hyderabad,Telangana,500001,India,LTY-000071,Bronze,1918,11/14/2023,Regular,10L-20L,1,1,1,1,1,12/26/2025 0:00,,12/26/2025 5:00,3/4/2026 0:00
74,CUST-000074,Karan,Agarwal,Karan Agarwal,Male,4/10/1990,35-44,karan.agarwal13@example.com,-152765,-155459,"611, Ring Rd",Sector 8,Lucknow,Uttar Pradesh,226001,India,LTY-000074,Silver,1106,7/29/2022,VIP,10L-20L,6,0,1,1,1,4/8/2024 0:00,,4/8/2024 13:00,1/29/2025 0:00
76,CUST-000076,Isha,Rao,Isha Rao,Female,5/1/1980,45-54,isha.rao21@example.com,-110921,-185990,"146, Ring Rd",Block B,Guwahati,Assam,781001,India,LTY-000076,Bronze,593,8/25/2025,Regular,10L-20L,2,1,1,0,1,10/14/2021 0:00,,10/14/2021 18:00,7/2/2022 0:00
1165,CUST-000076,Isha,Rao,Isha Rao,Female,5/1/1980,45-54,isha.rao21@example.com,-110921,-185990,"714, Market Rd",Sector 46,Mumbai,Maharashtra,400001,India,LTY-000076,Bronze,601,8/25/2025,Regular,10L-20L,2,1,1,0,0,1/1/2021 0:00,5/19/2021 0:00,1/1/2021 3:00,5/19/2021 13:00
77,CUST-000077,Diya,Mehta,Diya Mehta,Female,3/18/1956,65+,diya.mehta61@example.com,-140213,-163710,"779, Main St",Opp. Park,Mumbai,Maharashtra,400001,India,LTY-000077,Bronze,1245,11/21/2021,VIP,>20L,3,0,0,0,1,4/11/2024 0:00,,4/11/2024 4:00,7/19/2024 0:00
78,CUST-000078,Vikram,Iyer,Vikram Iyer,Male,2/11/2002,18-24,vikram.iyer77@example.com,-177659,-171868,"834, Park St",Opp. Park,Patna,Bihar,800001,India,LTY-000078,Bronze,1078,8/16/2025,New,6L-10L,6,1,1,0,1,10/20/2022 0:00,,10/20/2022 7:00,12/29/2022 0:00
79,CUST-000079,Lucas,Clark,Lucas Clark,Male,3/15/1956,65+,lucas.clark32@example.com,-5979,-8923,"391, Park St",Near Mall,New York,New York,10001,USA,LTY-000079,Gold,11588,11/18/2021,Regular,10L-20L,5,1,0,1,1,5/10/2021 0:00,,5/10/2021 1:00,4/11/2022 0:00
82,CUST-000082,Nikita,Kapoor,Nikita Kapoor,Female,10/14/1969,55-64,nikita.kapoor36@example.com,-142058,-150077,"562, MG Road",Block A,Guwahati,Assam,781001,India,LTY-000082,Bronze,969,12/17/2025,VIP,10L-20L,1,1,0,0,1,7/30/2021 0:00,,7/30/2021 16:00,6/4/2022 0:00
84,CUST-000084,Nikita,Verma,Nikita Verma,Female,8/3/1995,25-34,nikita.verma83@example.com,-105539,-169469,"693, Main St",Near Mall,Kolkata,West Bengal,700001,India,LTY-000084,Silver,4607,11/2/2025,Regular,>20L,2,0,1,0,1,1/11/2025 0:00,,1/11/2025 15:00,7/31/2025 0:00
85,CUST-000085,Varun,Kapoor,Varun Kapoor,Male,10/29/1981,35-44,varun.kapoor50@example.com,-138872,-133425,"851, Station Rd",Opp. Park,Gurgaon,Haryana,122001,India,LTY-000085,Bronze,230,6/17/2024,Occasional,Unknown,6,1,1,0,1,4/20/2023 0:00,,4/20/2023 22:00,10/12/2023 0:00
87,CUST-000087,Vikram,Shah,Vikram Shah,Male,11/28/1989,35-44,vikram.shah57@example.com,-157776,-126558,"8, MG Road",Block C,Mumbai,Maharashtra,400001,India,LTY-000087,Silver,2997,8/31/2021,Regular,6L-10L,1,1,0,1,1,10/10/2023 0:00,,10/11/2023 0:00,8/19/2024 0:00
91,CUST-000091,Sanjay,Reddy,Sanjay Reddy,Male,10/26/2007,18-24,sanjay.reddy31@example.com,-170503,-163534,"863, Park St",Sector 10,Nagpur,Maharashtra,440001,India,LTY-000091,Bronze,430,7/8/2024,Regular,3L-6L,3,1,0,1,1,4/6/2024 0:00,,4/6/2024 3:00,3/14/2025 0:00
92,CUST-000092,Vikram,Nair,Vikram Nair,Male,5/26/1968,55-64,vikram.nair30@example.com,-147097,-165886,"447, Park St",Block D,Noida,Uttar Pradesh,201301,India,LTY-000092,Platinum,12364,5/10/2025,Occasional,6L-10L,6,0,0,1,1,2/17/2024 0:00,,2/18/2024 0:00,10/1/2024 0:00
1168,CUST-000092,Vikram,Nair,Vikram Nair,Male,5/26/1968,55-64,vikram.nair30@example.com,-147097,-165886,"213, Temple St",Near Hospital,Lucknow,Uttar Pradesh,226001,India,LTY-000092,Bronze,881,5/10/2025,Occasional,6L-10L,6,0,0,1,0,3/26/2021 0:00,9/11/2023 0:00,3/26/2021 9:00,9/11/2023 20:00
96,CUST-000096,Aisha,Patel,Aisha Patel,Female,10/25/1957,65+,aisha.patel84@example.com,-91578,-118757,"324, Main St",Opp. Park,Jaipur,Rajasthan,302001,India,LTY-000096,Bronze,1181,11/2/2025,Occasional,10L-20L,5,1,0,0,1,1/24/2021 0:00,,1/24/2021 9:00,10/8/2021 0:00
1133,CUST-000096,Aisha,Patel,Aisha Patel,Female,10/25/1957,65+,aisha.patel84@example.com,-91578,-118757,"163, Temple St",Opp. School,Noida,Uttar Pradesh,201301,India,LTY-000096,Gold,7173,11/2/2025,Occasional,10L-20L,5,1,0,0,0,1/1/2021 0:00,10/1/2020 0:00,1/1/2021 9:00,10/1/2020 20:00
97,CUST-000097,Amit,Nair,Amit Nair,Male,2/9/2006,18-24,amit.nair66@example.com,-125444,-153295,"466, Park St",Sector 30,Lucknow,Uttar Pradesh,226001,India,LTY-000097,Bronze,488,6/27/2023,Regular,6L-10L,4,0,0,1,1,7/5/2024 0:00,,7/5/2024 20:00,1/27/2025 0:00
100,CUST-000100,Aisha,Gupta,Aisha Gupta,Female,8/6/1998,25-34,aisha.gupta48@example.com,-129868,-115959,"239, Park St",Block A,Pune,Maharashtra,411001,India,LTY-000100,Bronze,1366,6/25/2024,VIP,10L-20L,6,1,0,1,1,11/16/2025 0:00,,11/16/2025 12:00,9/26/2026 0:00
101,CUST-000101,Rahul,Iyer,Rahul Iyer,Male,4/6/1989,35-44,rahul.iyer6@example.com,-102459,-93325,"443, Main St",Sector 8,Kolkata,West Bengal,700001,India,LTY-000101,Silver,4244,4/27/2025,VIP,<3L,3,1,1,0,1,9/26/2023 0:00,,9/26/2023 17:00,1/9/2024 0:00
102,CUST-000102,Raghav,Sharma,Raghav Sharma,Male,9/18/1992,25-34,raghav.sharma28@example.com,-168787,-177463,"240, Park St",Opp. Park,Ranchi,Jharkhand,834001,India,LTY-000102,Bronze,860,10/24/2024,VIP,6L-10L,1,0,0,0,1,5/20/2022 0:00,,5/21/2022 0:00,2/20/2023 0:00
1173,CUST-000102,Raghav,Sharma,Raghav Sharma,Male,9/18/1992,25-34,raghav.sharma28@example.com,-168787,-177463,"907, Temple St",Sector 47,Bengaluru,Karnataka,560001,India,LTY-000102,Bronze,1434,10/24/2024,Regular,6L-10L,1,0,0,0,0,1/1/2021 0:00,2/1/2022 0:00,1/1/2021 7:00,2/1/2022 18:00
103,CUST-000103,Emma,Hall,Emma Hall,Female,12/25/1986,35-44,emma.hall86@example.com,-198300,-286160,"543, Park St",Opp. Park,Manchester,England,M1,UK,LTY-000103,Platinum,12213,5/21/2025,Regular,Unknown,4,1,1,0,1,4/2/2024 0:00,,4/3/2024 0:00,5/11/2024 0:00
104,CUST-000104,Isha,Nair,Isha Nair,Female,7/10/1975,45-54,isha.nair56@example.com,-132169,-159885,"491, Main St",Opp. Park,Bengaluru,Karnataka,560001,India,LTY-000104,Silver,1229,7/21/2021,Regular,10L-20L,1,1,0,0,1,9/30/2025 0:00,,9/30/2025 15:00,5/6/2026 0:00
105,CUST-000105,Sanjay,Kapoor,Sanjay Kapoor,Male,12/23/1977,45-54,sanjay.kapoor6@example.com,-163338,-123350,"487, MG Road",Opp. Park,Coimbatore,Tamil Nadu,641001,India,LTY-000105,Silver,2894,8/13/2024,Regular,6L-10L,5,1,0,0,1,3/10/2023 0:00,,3/10/2023 5:00,12/4/2023 0:00
106,CUST-000106,Charlotte,Taylor,Charlotte Taylor,Female,5/12/1979,45-54,charlotte.taylor86@example.com,-858781,-758808,"895, Station Rd",Block B,London,England,SW1A,UK,LTY-000106,Gold,10638,7/25/2023,New,3L-6L,3,1,1,1,1,1/5/2024 0:00,,1/5/2024 0:00,5/11/2024 0:00
107,CUST-000107,Arjun,Rao,Arjun Rao,Male,1/18/1972,45-54,arjun.rao68@example.com,-102172,-174290,"924, Ring Rd",Block C,Pune,Maharashtra,411001,India,LTY-000107,Gold,8586,1/4/2023,Occasional,10L-20L,2,0,1,1,1,1/16/2025 0:00,,1/16/2025 0:00,9/21/2025 0:00
108,CUST-000108,Karan,Patel,Karan Patel,Male,10/22/1979,45-54,karan.patel70@example.com,-163019,-140334,"985, MG Road",Near Mall,Kochi,Kerala,682001,India,LTY-000108,Platinum,11823,8/12/2024,Occasional,<3L,3,1,1,1,1,11/24/2025 0:00,,11/24/2025 2:00,2/17/2026 0:00
109,CUST-000109,Varun,Kapoor,Varun Kapoor,Male,10/12/1960,65+,varun.kapoor3@example.com,-160550,-176109,"802, Park St",Block D,Chennai,Tamil Nadu,600001,India,LTY-000109,Bronze,689,10/23/2023,VIP,10L-20L,2,0,1,1,1,2/2/2022 0:00,,2/2/2022 12:00,9/5/2022 0:00
110,CUST-000110,Varun,Reddy,Varun Reddy,Male,2/1/1988,35-44,varun.reddy48@example.com,-168246,-145630,"442, MG Road",Near Mall,Bengaluru,Karnataka,560001,India,LTY-000110,Bronze,251,7/26/2024,Occasional,6L-10L,6,0,0,1,1,11/25/2021 0:00,,11/25/2021 21:00,7/27/2022 0:00
111,CUST-000111,Amit,Shah,Amit Shah,Male,6/8/1963,55-64,amit.shah51@example.com,-118041,-173550,"383, Station Rd",Sector 17,Gurgaon,Haryana,122001,India,LTY-000111,Bronze,1215,5/27/2021,VIP,10L-20L,1,1,1,0,1,7/9/2022 0:00,,7/10/2022 0:00,3/5/2023 0:00
112,CUST-000112,Vikram,Patel,Vikram Patel,Male,2/4/1992,25-34,vikram.patel60@example.com,-110863,-111361,"997, Park St",Block A,Pune,Maharashtra,411001,India,LTY-000112,Gold,9864,4/1/2021,Occasional,3L-6L,2,1,1,0,1,6/27/2021 0:00,,6/27/2021 3:00,4/29/2022 0:00
113,CUST-000113,Kabir,Rao,Kabir Rao,Male,11/20/1991,25-34,kabir.rao9@example.com,-139933,-97765,"285, Ring Rd",Block B,Lucknow,Uttar Pradesh,226001,India,LTY-000113,Silver,1701,5/9/2023,Occasional,<3L,2,0,0,1,1,10/12/2025 0:00,,10/12/2025 19:00,7/20/2026 0:00
114,CUST-000114,Kavya,Shah,Kavya Shah,Female,7/4/1996,25-34,kavya.shah24@example.com,-136420,-149911,"652, Main St",Sector 15,Pune,Maharashtra,411001,India,LTY-000114,Bronze,155,8/6/2023,Occasional,<3L,4,0,0,1,1,1/16/2021 0:00,,1/16/2021 20:00,6/26/2021 0:00
